150000	2006	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 100000	 левый	 музыка есть,  тонировка,  литьё,  эл. стеклоподъёмники,  мотор 16клапанный	 Новосибирск	11456440	25-07-2013	
165000	2006	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 120000	 левый	 Срочно продам ВАЗ 2111. 2006г. два хозяина. состояние отличное. Салон приятный не прокуренный не проженный. замена задных стоек рулевые наконечники передные тормозные колодки и генератора два дня назад. два стеклоподемника. музика мп- 3. литье. торг у машины. . . Звонить по этому номеру (7-923-701-74-46)	 Новосибирск	11699396	28-07-2013	
175000	2006	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 72000	null	 за машину не стыдно!краска родная! есть зимние колеса, немного замято крыло, фото нет	 Новосибирск	11681557	26-07-2013	
205000	2007	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 44000	 левый	 гидроусилитель руля котел подогрева музыка стеклоподьемники состояние нового автомобиля зимой не эксплуатировалась	 Новосибирск	11748815	02-08-2013	
198000	2007	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	null	 левый	 Продам ваз 21114,  2007 г. в. двигатель- 1, 6л. 16кл. 90 л/с (клапана не гнёт). 	 Новосибирск	11557863	30-07-2013	
195000	2008	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 84000	 левый	 Все вопросы по телефону	 Новосибирск	11274813	03-08-2013	
210000	2009	Лада	2111	 бензин, 1600 куб.см	 механика	 передний	 70000	 левый	 Сборка ВАЗ (Тольятти), куплена и обслуживалась в дилерском центре. Кузов обработан тектилом, не битая, не крашеная, есть сигнализация Шер-Хан 2. Ни одного холодного запуска зимой (установлен подогрев). Двигатель 8 клапанный- 21114. Масло в двигателе Eneos. Регулируемая колонка, ГУР, салон чистый, в машине не курили. 5 МКПП, Мр3, европанель, подкрылки. Комплект зимней резины на дисках. Техосмотр до мая 2015 г. 1 хозяин. ОТС. Машина продается в связи с переездом.	 Новосибирск	11214105	25-07-2013	
180000	2004	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	 156000	 левый	 ОТС. Аудиосистема JVC. Резина Cordiant отходила 1сезон, диски новые. Двигатель надежный 8- ми клапанный инжектор, масла менялись вовремя,  ДВС масло не ест. поменяны стойки вкруг, рулевая рейка. 	 Новосибирск	11638731	22-07-2013	
100000	1999	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	null	 Новосибирск	11624845	21-07-2013	
157000	2002	Лада	2111	 бензин, 1500 куб.см	 механика	 передний	null	 левый	 опрятный салон.отс. сигнализация.неплохая музыка под модулятор.4 динамика.пищалки.литье на 14. пробег- 83000. серебрянный металлик двигатель- 2112. 94л.с.ремонт двигателя.клапана не гнет.ремонт ходовой.новые стойки.опорные подшипники. новый стартер. новый грм.гнилья снизу нет.звоните на второй номер.	 Новосибирск	11387325	27-07-2013	
105000	1999	Лада	2111	 бензин	 механика	 передний	 80000	 левый	null	 Новосибирск	11344397	24-07-2013	
