620000	2004	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 78000	 правый	 авто эксплуатировался без дтп, салон чистый не прокуреный, комплект зимней резины в подарок торг уместен после осмотра.	 Новосибирск	7675884	13-07-2012	
230000	1992	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 240000	 правый	 Продам SUZUKI ESCUDO 1992г/в. Двигатель 16A. ХТС.Два хозяина.Владею авто 8 лет. Имеется зимняя резина. Торг уместен.	 Новосибирск	11379263	25-06-2013	
615000	2007	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 105000	 правый	 ОТС. Обслуживается только в дилерском центре. Один хозяин. Цвет сребро. Полностью укомплектована. Все вопросы по телефону. Торг. Срочная продажа отдам за 600 т р*	 Новосибирск	10403093	19-04-2013	
250000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 100000	 правый	 oтс, элекро люклюк, 4вд, резина r16 зима, лето звонить по этому номеру 89138922109	 Новосибирск	11344897	22-06-2013	
340000	1997	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11009798	22-06-2013	
165000	1990	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	null	 правый	 Машина в хорошем состоянии. Кузов крепкий,  рама не гнилая. Механические хабы. Все работает. 	 Новосибирск	11521624	10-07-2013	
250000	1995	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 250000	 правый	 ХТС. TD11W H20A. Установлены ручные хабы SUPERWINCH HUBS. 	 Новосибирск	11338285	21-06-2013	
220000	1994	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 95000	 правый	 25 ПТС, торг, комплектация GOLDWIN, задний мост LSD, сделан Антикор по кузову, покрашен осенью 2012 г, кап. ремонт ходовой 2012 г, заменил радиатор печки 2012 г	 Новосибирск	11107243	05-07-2013	
110000	1991	Suzuki	Escudo	 бензин, 1600 куб.см	 автомат	 4WD	 80000	 правый	 машина на полном ходу требуеться кузовной ремонт . жимок на правую стоюку крыши замято правое крыло . матор после кап ремонта . масло матюль прошол 18000 . стоят 31 колеса максис красивое летье салон проклеен шумкой вопросы по телефону .трех дверый.	 Новосибирск	11524323	10-07-2013	
720000	2008	Suzuki	Escudo	 бензин, 2000 куб.см	 автомат	 4WD	 70000	 правый	 ПРОДАМ СРОЧНО! Один хозяин,  таможенный ПТС первичный , литье, ветровики, брызговики, пороги, стальная защита картера,  иммобилайзер, ксенон , климат-контроль,  , Smart-ключ, две сигнализаций , сигнализация с автозапуском,  автомобиль в отличном состояний. аукционный лист 5 баллов .	 Новосибирск	8180752	08-12-2012	
