175000	1997	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	null	 правый	 Отличный автомобиль для работы,  семьи,  дачи,  отдыха и т. д. По технической части состояние отличное. По кузову не идеал,  но все адекватно году автомобиля. Сзади рессоры,  очень вместительный багажник,  грузоподъемность 500 кг. Торг у автомобиля. Обмен не интересен. Срочно!	 Новосибирск	11182203	06-06-2013	
170000	1996	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 260000	 правый	 ХТС. Произведен капитальный ремонт двигателя,  поменяны все расходники. Требуется покраска капота. В комплекте есть литые диски на 14. Торг.	 Новосибирск	11092732	06-06-2013	
167000	1998	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	null	 правый	 Хорошее состояние,  25 ПТС	 Новосибирск	11162881	08-06-2013	
165000	1994	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	null	 правый	 Техническое состояние (движок,  коробка и ходовка) в порядке. 	 Новосибирск	11230269	10-06-2013	
165000	1997	Toyota	Caldina	 бензин, 1500 куб.см	 автомат	 передний	 320000	 правый	 Автомобиль в хорошем тех. состоянии. Движок капиталился в 12 году,  есть чеки. Все вопросы по телефону. СРОЧНО!!!	 Новосибирск	11222201	10-06-2013	
250000	1999	Toyota	Caldina	 бензин, 1800 куб.см	 автомат	 передний	 456690	 правый	null	 Новосибирск	11094834	08-06-2013	
320000	1998	Toyota	Caldina	 бензин, 2500 куб.см	 автомат	 4WD	null	 правый	 GT-T TURBO 260л.с(в птс 145 л.с)машина в отличном состоянии, двигатель не отжат, турбина сухая, самая жирная комплектация...бортовой компьютер, антиюз, антизанос, антибукс, климат-контроль, типтроник с возможностью переключения на руле!	 Новосибирск	4747005	13-03-2011	
240000	1998	Toyota	Caldina	 дизель, 2500 куб.см	 автомат	 передний	null	 правый	null	 Новосибирск	10519584	05-04-2013	
10000	1978	Toyota	Caldina	 бензин, 5000 куб.см	 автомат	 передний	 99000	 правый	null	 Новосибирск	4669427	04-03-2011	
$10500 (~ 343000р	2000	Toyota	Caldina	 бензин, 18000 куб.см	 автомат	 передний	 93000	 правый	 Цвет - серебро, Ветровеки.	 Новосибирск	1264173	25-05-2007	
175000	1994	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 260000	 правый	 хтс, супер салон, евро фары , новая резина гудиер , комплект литых дисков в подарок ТО до 2014г. САЛОН НЕ ПРОКУРЕН торг у машины вся информация по телефону.	 Новосибирск	11109055	04-06-2013	
160000	1995	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	 280000	 правый	 Литье,  музыка,  сигнализация тамогавк 9010,  ХТС,  G- комплектация, торг реальному покупателю	 Новосибирск	11110482	05-06-2013	
230000	1995	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	 цвет Черный,  люк,  литье,  музыка,  ТОРГ! ! !	 Новосибирск	11176887	05-06-2013	
155000	1994	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	 213400	 правый	 есть косяки по кузову,  на езду не влияют. в мае менял ремень ГРМ с роликами,  ремень ГУР,  помпа. стойки менялись в круг 09. 2012г. установлено газовое оборудование. сигналка с обратной связью и автозапуском.	 Новосибирск	11180638	06-06-2013	
217000	1997	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 4WD	null	 правый	null	 Новосибирск	11133124	06-06-2013	
215000	1996	Toyota	Caldina	 бензин, 2000 куб.см	 автомат	 передний	null	 правый	 Продам тайота- калдина 96 года,  по технической части ОТС,  по кузову ХТС,  требует немного косметики. Машина не битая,  не крашен не один элемент,  всё родное,  сигналка А/С,  О/С. Музыка ТВ,  ДВД,  МП3.	 Новосибирск	11083261	08-06-2013	
